HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
317	-173.6	-188.8	500	0.0906	0.0253	0.0653	0
318	318.7	-188.8	223	0.0612	0.0029	0.0583	1
319	-296.1	-187.2	500	0.0668	0.0260	0.0408	0
320	-123.4	-187.5	500	0.0958	0.0205	0.0753	0
321	-457.3	-187.3	500	0.0303	0.0217	0.0085	0
322	-464.7	-188.1	500	0.0545	0.0474	0.0071	0
323	-251.0	-189.0	500	0.0656	0.0158	0.0498	0
324	-310.6	-189.2	500	0.0651	0.0273	0.0379	0
325	-245.2	-189.6	500	0.0587	0.0077	0.0510	0
326	-325.5	-189.7	500	0.0612	0.0263	0.0349	0
327	-141.6	-190.1	500	0.1096	0.0379	0.0717	0
328	-310.5	-190.0	500	0.0570	0.0191	0.0379	0
329	-398.5	-190.4	500	0.0413	0.0210	0.0203	0
330	-391.4	-191.0	500	0.0323	0.0105	0.0217	0
331	430.3	-191.6	247	0.0886	0.0030	0.0856	1
332	506.0	-189.7	181	0.0903	0.0025	0.0877	1
333	-287.8	-187.6	500	0.0647	0.0223	0.0424	0
334	-417.5	-187.9	500	0.0344	0.0179	0.0165	0
335	-379.4	-188.6	500	0.0454	0.0213	0.0241	0
336	275.9	-189.2	243	0.0566	0.0030	0.0536	1
337	-292.9	-187.8	500	0.0699	0.0285	0.0414	0
338	-146.1	-188.1	500	0.0940	0.0232	0.0708	0
339	496.2	-188.0	125	0.0773	0.0028	0.0746	1
340	-239.8	-186.0	500	0.0606	0.0085	0.0520	0
341	-235.7	-186.1	500	0.0769	0.0240	0.0529	0
342	-429.4	-186.3	500	0.0444	0.0303	0.0141	0
343	-158.7	-187.0	500	0.0820	0.0137	0.0683	0
344	-183.2	-186.9	500	0.0866	0.0232	0.0634	0
345	-103.2	-186.9	500	0.0942	0.0148	0.0794	0
346	505.1	-186.7	215	0.0968	0.0025	0.0943	1
347	-401.7	-184.7	500	0.0404	0.0207	0.0197	0
348	-255.6	-185.3	500	0.0756	0.0267	0.0489	0
349	-296.1	-185.5	500	0.0664	0.0256	0.0408	0
350	551.0	-185.8	212	0.1055	0.0028	0.1027	1
351	-338.3	-183.7	500	0.0561	0.0238	0.0323	0
352	-252.1	-184.2	500	0.0718	0.0223	0.0496	0
353	-119.1	-184.3	500	0.1110	0.0349	0.0762	0
354	-80.1	-184.2	500	0.0914	0.0074	0.0840	0
355	-293.4	-183.9	500	0.0686	0.0272	0.0413	0
356	-131.1	-184.2	500	0.0818	0.0081	0.0738	0
357	-322.4	-184.0	500	0.0641	0.0286	0.0355	0
358	-82.4	-184.4	500	0.0983	0.0148	0.0835	0
359	-298.5	-184.1	500	0.0551	0.0148	0.0403	0
360	-221.3	-184.4	500	0.0789	0.0231	0.0557	0
361	-357.5	-184.5	500	0.0382	0.0097	0.0285	0
362	-450.4	-185.0	500	0.0376	0.0277	0.0099	0
363	-216.4	-185.8	500	0.0728	0.0161	0.0567	0
364	-563.9	-185.8	500	0.0733	0.0861	-0.0128	0
365	-161.0	-186.9	500	0.1020	0.0342	0.0678	0
366	-454.9	-186.8	500	0.0238	0.0148	0.0090	0
367	290.4	-187.5	256	0.0623	0.0029	0.0593	1
368	-570.1	-186.2	500	0.0804	0.0945	-0.0140	0
369	-230.7	-187.3	500	0.0787	0.0248	0.0539	0
370	-339.6	-187.4	500	0.1066	0.0746	0.0321	0
371	-169.3	-187.8	500	0.0702	0.0041	0.0661	0
372	-128.0	-187.8	500	0.0871	0.0127	0.0744	0
373	-489.6	-187.6	500	0.0148	0.0127	0.0021	0
374	-299.4	-188.4	500	0.0688	0.0287	0.0401	0
375	441.9	-188.7	109	0.0632	0.0027	0.0605	1
376	-291.7	-187.0	500	0.1041	0.0624	0.0417	0
377	-140.6	-187.3	500	0.0916	0.0197	0.0719	0
378	365.6	-187.2	174	0.0607	0.0029	0.0578	1
379	-278.1	-185.7	500	0.0807	0.0363	0.0444	0
380	-482.7	-186.0	500	0.0360	0.0326	0.0035	0
381	-198.2	-186.7	500	0.0969	0.0366	0.0604	0
382	436.9	-186.8	107	0.0616	0.0025	0.0590	1
383	-276.9	-185.1	500	0.1087	0.0641	0.0446	0
384	-114.6	-185.4	500	0.1119	0.0349	0.0771	0
385	-253.5	-185.2	500	0.0801	0.0308	0.0493	0
386	-455.8	-185.4	500	0.0829	0.0741	0.0088	0
387	-290.9	-186.1	500	0.0913	0.0495	0.0418	0
388	-186.1	-186.3	500	0.0861	0.0233	0.0628	0
389	-336.1	-186.3	500	0.0566	0.0238	0.0328	0
390	-433.0	-186.7	500	0.0390	0.0256	0.0134	0
391	-261.8	-187.4	500	0.0864	0.0388	0.0476	0
392	-95.9	-187.5	500	0.0978	0.0170	0.0808	0
393	-318.8	-187.3	500	0.0435	0.0072	0.0362	0
394	-284.0	-187.6	500	0.0696	0.0264	0.0432	0
395	-316.9	-187.9	500	0.0744	0.0378	0.0366	0
396	-325.1	-188.2	500	0.0675	0.0326	0.0350	0
397	-212.3	-188.6	500	0.0773	0.0197	0.0575	0
398	-512.2	-188.6	500	0.0182	0.0207	-0.0024	0
399	-234.8	-189.4	500	0.0763	0.0232	0.0530	0
400	-216.8	-189.5	500	0.0782	0.0216	0.0566	0
401	-67.2	-189.6	500	0.1055	0.0189	0.0866	0
402	-182.2	-189.3	500	0.0696	0.0060	0.0636	0
403	-425.6	-189.3	500	0.0226	0.0077	0.0149	0
404	-386.3	-189.9	500	0.0309	0.0081	0.0227	0
405	493.8	-190.4	135	0.0789	0.0030	0.0759	1
406	-262.7	-188.7	500	0.1085	0.0610	0.0475	0
407	-14.1	-188.9	500	0.1103	0.0131	0.0972	0
408	-310.3	-188.4	500	0.0597	0.0218	0.0379	0
409	340.5	-188.7	45	0.0300	0.0029	0.0271	1
410	-244.9	-187.4	500	0.1076	0.0566	0.0510	0
411	-338.8	-187.6	500	0.0588	0.0265	0.0322	0
412	-37.3	-187.9	500	0.1055	0.0129	0.0925	0
413	-328.8	-187.6	500	0.0422	0.0079	0.0342	0
414	-202.2	-187.9	500	0.0831	0.0236	0.0596	0
415	-45.0	-188.0	500	0.1138	0.0228	0.0910	0
416	-281.6	-187.6	500	0.0608	0.0171	0.0437	0
417	-166.4	-187.8	500	0.0793	0.0126	0.0667	0
418	-281.6	-187.8	500	0.0755	0.0319	0.0437	0
419	-337.2	-188.0	500	0.0557	0.0231	0.0326	0
420	-62.4	-188.4	500	0.0962	0.0087	0.0875	0
421	-109.6	-188.1	500	0.0887	0.0106	0.0781	0
422	-348.5	-187.9	500	0.0540	0.0237	0.0303	0
423	-447.2	-188.3	500	0.0369	0.0264	0.0106	0
424	-282.7	-188.9	500	0.0549	0.0114	0.0435	0
425	-449.8	-189.1	500	0.0201	0.0100	0.0100	0
426	-303.8	-189.7	500	0.0483	0.0090	0.0392	0
427	-170.1	-190.0	500	0.0871	0.0211	0.0660	0
